symbol,csv_name,source,symboltype,trading_currency,lot_size,bbg_code,back_up_bbg_code,timezone,MAIN,CCPFXRATE,INT,list_exchange,contract_multiplier
QC_BTCBUSD_prep,,,FX,USD,,,,,,,,,1
QC_BTCBUSD,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_BTCUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_BTCUSDT_prep,,,FX,USD,,,,,,,,,1
QC_ETHUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_ETHUSDT_prep,,,FX,USD,,,,,,,,,1
QC_ADAUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_ADAUSDT_prep,,,FX,USD,,,,,,,,,1
QC_BNBUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_BNBUSDT_prep,,,FX,USD,,,,,,,,,1
QC_DOTUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_DOTUSDT_prep,,,FX,USD,,,,,,,,,1
QC_XRPUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_XRPUSDT_prep,,,FX,USD,,,,,,,,,1
QC_DOGEUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_DOGEUSDT_prep,,,FX,USD,,,,,,,,,1
QC_LTCUSDT,,,US_ContinuousFutures,USD,,,,,,,,,1
QC_LTCUSDT_prep,,,FX,USD,,,,,,,,,1