,symbol,pair,contractType,deliveryDate,onboardDate,contractStatus,contractSize,marginAsset,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,equalQtyPrecision,triggerProtect,underlyingType
0,BTCUSD_PERP,BTCUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-10 07:00:00,TRADING,100,BTC,2.5000,5.0000,BTC,USD,1,0,8,8,4,0.0500,COIN
1,BTCUSD_210625,BTCUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,100,BTC,2.5000,5.0000,BTC,USD,1,0,8,8,4,0.0500,COIN
2,BTCUSD_210924,BTCUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,100,BTC,2.5000,5.0000,BTC,USD,1,0,8,8,4,0.0500,COIN
3,ETHUSD_PERP,ETHUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-18 07:00:00,TRADING,10,ETH,2.5000,5.0000,ETH,USD,2,0,8,8,4,0.0500,COIN
4,ETHUSD_210625,ETHUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,ETH,2.5000,5.0000,ETH,USD,2,0,8,8,4,0.0500,COIN
5,ETHUSD_210924,ETHUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,ETH,2.5000,5.0000,ETH,USD,2,0,8,8,4,0.0500,COIN
6,LINKUSD_PERP,LINKUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-18 07:00:00,TRADING,10,LINK,2.5000,5.0000,LINK,USD,3,0,8,8,4,0.0500,COIN
7,BNBUSD_PERP,BNBUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-21 07:00:00,TRADING,10,BNB,2.5000,5.0000,BNB,USD,3,0,8,8,4,0.0500,COIN
8,TRXUSD_PERP,TRXUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-25 07:00:00,TRADING,10,TRX,2.5000,5.0000,TRX,USD,5,0,8,8,4,0.0500,COIN
9,DOTUSD_PERP,DOTUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-25 07:00:00,TRADING,10,DOT,2.5000,5.0000,DOT,USD,3,0,8,8,4,0.0500,COIN
10,ADAUSD_PERP,ADAUSD,PERPETUAL,2100-12-25 08:00:00,2020-08-26 07:00:00,TRADING,10,ADA,2.5000,5.0000,ADA,USD,5,0,8,8,4,0.0500,COIN
11,EOSUSD_PERP,EOSUSD,PERPETUAL,2100-12-25 08:00:00,2020-09-06 07:00:00,TRADING,10,EOS,2.5000,5.0000,EOS,USD,3,0,8,8,4,0.0500,COIN
12,LTCUSD_PERP,LTCUSD,PERPETUAL,2100-12-25 08:00:00,2020-09-07 07:00:00,TRADING,10,LTC,2.5000,5.0000,LTC,USD,2,0,8,8,4,0.0500,COIN
13,BCHUSD_PERP,BCHUSD,PERPETUAL,2100-12-25 08:00:00,2020-09-07 07:00:00,TRADING,10,BCH,2.5000,5.0000,BCH,USD,2,0,8,8,4,0.0500,COIN
14,XRPUSD_PERP,XRPUSD,PERPETUAL,2100-12-25 08:00:00,2020-09-09 07:00:00,TRADING,10,XRP,2.5000,5.0000,XRP,USD,4,0,8,8,4,0.0500,COIN
15,ETCUSD_PERP,ETCUSD,PERPETUAL,2100-12-25 08:00:00,2020-09-09 07:00:00,TRADING,10,ETC,2.5000,5.0000,ETC,USD,3,0,8,8,4,0.0500,COIN
16,FILUSD_PERP,FILUSD,PERPETUAL,2100-12-25 08:00:00,2020-10-22 07:00:00,TRADING,10,FIL,2.5000,5.0000,FIL,USD,3,0,8,8,4,0.1500,COIN
17,EGLDUSD_PERP,EGLDUSD,PERPETUAL,2100-12-25 08:00:00,2020-12-21 07:00:00,TRADING,10,EGLD,2.5000,5.0000,EGLD,USD,3,0,8,8,4,0.0500,COIN
18,ADAUSD_210625,ADAUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,ADA,2.5000,5.0000,ADA,USD,5,0,8,8,4,0.0500,COIN
19,LINKUSD_210625,LINKUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,LINK,2.5000,5.0000,LINK,USD,3,0,8,8,4,0.0500,COIN
20,BCHUSD_210625,BCHUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,BCH,2.5000,5.0000,BCH,USD,2,0,8,8,4,0.0500,COIN
21,DOTUSD_210625,DOTUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,DOT,2.5000,5.0000,DOT,USD,3,0,8,8,4,0.0500,COIN
22,XRPUSD_210625,XRPUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,XRP,2.5000,5.0000,XRP,USD,4,0,8,8,4,0.0500,COIN
23,LTCUSD_210625,LTCUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,LTC,2.5000,5.0000,LTC,USD,2,0,8,8,4,0.0500,COIN
24,BNBUSD_210625,BNBUSD,CURRENT_QUARTER,2021-06-25 08:00:00,2020-12-25 08:00:00,TRADING,10,BNB,2.5000,5.0000,BNB,USD,3,0,8,8,4,0.0500,COIN
25,DOGEUSD_PERP,DOGEUSD,PERPETUAL,2100-12-25 08:00:00,2021-02-01 07:00:00,TRADING,10,DOGE,2.5000,5.0000,DOGE,USD,6,0,8,8,4,0.0500,COIN
26,ADAUSD_210924,ADAUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,ADA,2.5000,5.0000,ADA,USD,5,0,8,8,4,0.0500,COIN
27,LINKUSD_210924,LINKUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,LINK,2.5000,5.0000,LINK,USD,3,0,8,8,4,0.0500,COIN
28,BCHUSD_210924,BCHUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,BCH,2.5000,5.0000,BCH,USD,2,0,8,8,4,0.0500,COIN
29,DOTUSD_210924,DOTUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,DOT,2.5000,5.0000,DOT,USD,3,0,8,8,4,0.0500,COIN
30,XRPUSD_210924,XRPUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,XRP,2.5000,5.0000,XRP,USD,4,0,8,8,4,0.0500,COIN
31,LTCUSD_210924,LTCUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,LTC,2.5000,5.0000,LTC,USD,2,0,8,8,4,0.0500,COIN
32,BNBUSD_210924,BNBUSD,NEXT_QUARTER,2021-09-24 08:00:00,2021-03-26 08:00:00,TRADING,10,BNB,2.5000,5.0000,BNB,USD,3,0,8,8,4,0.0500,COIN
33,UNIUSD_PERP,UNIUSD,PERPETUAL,2100-12-25 08:00:00,2021-04-13 07:00:00,TRADING,10,UNI,2.5000,5.0000,UNI,USD,3,0,8,8,4,0.0500,COIN
34,THETAUSD_PERP,THETAUSD,PERPETUAL,2100-12-25 08:00:00,2021-04-13 07:00:00,TRADING,10,THETA,2.5000,5.0000,THETA,USD,3,0,8,8,4,0.0500,COIN
35,XLMUSD_PERP,XLMUSD,PERPETUAL,2100-12-25 08:00:00,2021-04-15 07:00:00,TRADING,10,XLM,2.5000,5.0000,XLM,USD,5,0,8,8,4,0.0500,COIN
